Corps,Activité,produit,variete,annee,prix,region
Gros œuvre,Acier,Acier doux,D 6 (kg),2005,8.41,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2006,8.41,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2007,9.39,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2008,8.41,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2009,8.11,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2010,8.11,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2011,7.81,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2012,7.96,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2013,8.36,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2014,8.26,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2015,7.9,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2016,7.96,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2017,7.95,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2018,8.14,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2019,8.47,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2020,7.96,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2021,7.92,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2022,7.89,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2023,7.85,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2024,7.82,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2025,7.78,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2026,7.74,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2027,7.71,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2028,7.67,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2029,7.64,BKH
Gros œuvre,Acier,Acier doux,D 6 (kg),2030,7.6,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2005,8.2,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2006,8.37,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2007,8.82,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2008,8.91,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2009,8.8,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2010,8.8,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2011,8.69,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2012,7.89,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2013,8.37,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2014,8.32,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2015,7.86,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2016,7.98,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2017,7.94,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2018,8.18,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2019,8.42,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2020,8.03,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2021,7.99,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2022,7.95,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2023,7.91,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2024,7.86,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2025,7.82,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2026,7.78,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2027,7.74,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2028,7.69,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2029,7.65,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),2030,7.61,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2005,8.54,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2006,8.54,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2007,8.54,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2008,9.03,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2009,8.59,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2010,8.71,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2011,8.15,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2012,7.99,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2013,8.5,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2014,8.48,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2015,7.97,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2016,8.0,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2017,7.97,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2018,8.41,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2019,8.41,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2020,8.08,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2021,8.05,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2022,8.01,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2023,7.97,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2024,7.93,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2025,7.9,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2026,7.86,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2027,7.82,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2028,7.78,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2029,7.74,BKH
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),2030,7.71,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2005,3.23,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2006,3.23,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2007,3.23,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2008,3.46,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2009,3.66,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2010,3.61,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2011,3.8,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2012,4.06,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2013,4.31,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2014,4.55,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2015,4.87,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2016,4.89,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2017,4.92,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2018,4.9,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2019,5.06,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2020,5.35,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2021,5.5,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2022,5.66,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2023,5.81,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2024,5.96,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2025,6.12,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2026,6.27,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2027,6.42,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2028,6.58,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2029,6.73,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),2030,6.88,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2005,2.27,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2006,2.27,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2007,2.27,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2008,2.46,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2009,2.54,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2010,2.8,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2011,2.95,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2012,2.97,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2013,2.8,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2014,2.85,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2015,2.92,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2016,2.95,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2017,2.98,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2018,2.92,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2019,3.07,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2020,3.19,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2021,3.25,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2022,3.31,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2023,3.37,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2024,3.42,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2025,3.48,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2026,3.54,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2027,3.6,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2028,3.65,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2029,3.71,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2030,3.77,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2005,808.27,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2006,858.79,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2007,909.31,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2008,858.79,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2009,858.79,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2010,818.38,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2011,833.53,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2012,825.45,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2013,823.43,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2014,828.48,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2015,833.08,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2016,835.47,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2017,844.41,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2018,864.97,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2019,917.31,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2020,856.91,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2021,858.04,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2022,859.17,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2023,860.29,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2024,861.42,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2025,862.55,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2026,863.67,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2027,864.8,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2028,865.93,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2029,867.06,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),2030,868.18,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2005,850.44,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2006,850.43,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2007,851.6,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2008,917.7,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2009,977.91,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2010,920.28,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2011,945.84,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2012,969.39,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2013,988.9,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2014,925.53,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2015,895.71,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2016,892.06,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2017,876.76,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2018,872.49,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2019,881.48,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2020,912.91,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2021,913.55,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2022,914.19,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2023,914.83,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2024,915.48,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2025,916.12,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2026,916.76,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2027,917.4,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2028,918.04,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2029,918.69,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Baignoire,Tôle ou PVC (u),2030,919.33,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2005,338.71,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2006,348.39,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2007,367.74,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2008,400.0,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2009,430.64,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2010,454.84,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2011,420.97,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2012,403.55,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2013,372.58,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2014,396.77,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2015,386.69,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2016,389.17,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2017,387.22,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2018,386.88,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2019,403.74,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2020,405.21,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2021,406.79,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2022,408.38,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2023,409.96,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2024,411.55,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2025,413.13,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2026,414.72,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2027,416.3,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2028,417.89,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2029,419.47,BKH
Plomberie Sanitaire,Articles et produits sanitaires,Bidet,Standard (u),2030,421.06,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2005,12.27,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2006,12.27,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2007,13.22,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2008,11.33,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2009,11.33,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2010,12.51,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2011,13.69,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2012,12.65,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2013,13.55,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2014,13.5,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2015,13.47,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2016,13.58,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2017,13.36,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2018,13.27,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2019,13.3,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2020,13.78,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2021,13.89,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2022,14.0,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2023,14.11,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2024,14.22,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2025,14.33,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2026,14.45,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2027,14.56,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2028,14.67,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2029,14.78,BKH
Étanchéité,Produits d'étanchéité,Bitume,Bitume (Kg),2030,14.89,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2005,35.83,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2006,37.34,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2007,37.85,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2008,37.35,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2009,35.33,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2010,34.27,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2011,36.34,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2012,37.09,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2013,36.26,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2014,38.1,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2015,40.54,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2016,40.82,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2017,41.16,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2018,41.36,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2019,43.61,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2020,41.99,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2021,42.47,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2022,42.94,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2023,43.41,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2024,43.88,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2025,44.36,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2026,44.83,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2027,45.3,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2028,45.77,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2029,46.24,BKH
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),2030,46.72,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2005,1.61,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2006,1.61,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2007,1.61,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2008,1.7,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2009,1.8,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2010,1.78,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2011,1.97,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2012,1.98,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2013,2.11,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2014,2.15,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2015,2.15,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2016,2.13,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2017,2.12,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2018,2.09,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2019,2.0,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2020,2.26,BKH
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),2021,2.3,BKH
